"Parameter","Estimate","Std_Error","t_stat","p_value","CI_Lower","CI_Upper"
"Intercept",0.366793,0.027793,13.197164,0,0.312316,0.42127
"Night",0.081951,0.012073,6.788061,0,0.058287,0.105614
"MultiVehicle",-0.105036,0.012061,-8.708673,0,-0.128677,-0.081395
"Brooklyn",0.032722,0.024883,1.315042,0.188511,-0.01605,0.081495
"Manhattan",-0.083101,0.025637,-3.241465,0.001191,-0.133352,-0.032851
"Queens",-0.026604,0.025166,-1.057138,0.290461,-0.075933,0.022724
"Bronx",0.004188,0.02649,0.158079,0.874396,-0.047735,0.05611
"Inattention",0.05497,0.013534,4.061488,4.9e-05,0.028441,0.081499
"FollowingTooClosely",0.077749,0.026336,2.952219,0.003159,0.026129,0.129369
"FailureToYield",0.257621,0.020925,12.311502,0,0.216606,0.298636
"UnspecifiedFactor",-0.034781,0.011559,-3.009085,0.002624,-0.057437,-0.012125
"Sedan",0.011653,0.012247,0.951513,0.341356,-0.012352,0.035657
"SUV",8.9e-05,0.01188,0.007483,0.99403,-0.023197,0.023375
"Pickup",-0.060353,0.033921,-1.779203,0.075222,-0.126841,0.006136
"Motorcycle",0.325619,0.051453,6.328464,0,0.224766,0.426471
