"Parameter","True_Value","Mean_Estimate","Bias","SD_Estimate"
"Intercept",0.36679306,0.36673431,-5.875e-05,0.02894491
"Night",0.08195054,0.08126258,-0.00068796,0.01207199
"MultiVehicle",-0.10503618,-0.10428531,0.00075087,0.01226535
"Brooklyn",0.03272208,0.03206106,-0.00066101,0.02564958
"Manhattan",-0.08310143,-0.08380701,-0.00070559,0.02622135
"Queens",-0.02660447,-0.02804772,-0.00144325,0.02560659
"Bronx",0.00418753,0.00365921,-0.00052833,0.02655071
"Inattention",0.05497,0.05501653,4.654e-05,0.01411421
"FollowingTooClosely",0.07774905,0.07819864,0.00044959,0.02566785
"FailureToYield",0.25762122,0.25850944,0.00088822,0.02103538
"UnspecifiedFactor",-0.0347808,-0.0344336,0.0003472,0.01200059
"Sedan",0.01165291,0.01231501,0.0006621,0.01207237
"SUV",8.89e-05,0.00037089,0.00028199,0.01217093
"Pickup",-0.06035272,-0.06184222,-0.0014895,0.03391359
"Motorcycle",0.32561859,0.32580906,0.00019047,0.05151316
