"Parameter","Estimate","Parametric_SE","Bootstrap_SE","Parametric_CI_Lower","Parametric_CI_Upper","Bootstrap_CI_Lower","Bootstrap_CI_Upper","Parametric_p_value","Bootstrap_p_value","Bootstrap_Mean","Bootstrap_Bias"
"Intercept",0.366793,0.027793,0.027871,0.312316,0.42127,0.313189,0.421973,0,0,0.366354,-0.000439
"Night",0.081951,0.012073,0.012214,0.058287,0.105614,0.05828,0.105823,0,0,0.081916,-3.5e-05
"MultiVehicle",-0.105036,0.012061,0.012069,-0.128677,-0.081395,-0.128554,-0.081442,0,0,-0.104825,0.000212
"Brooklyn",0.032722,0.024883,0.024819,-0.01605,0.081495,-0.017334,0.079992,0.188511,0.19,0.032929,0.000207
"Manhattan",-0.083101,0.025637,0.025366,-0.133352,-0.032851,-0.134499,-0.034933,0.001191,6e-04,-0.082904,0.000197
"Queens",-0.026604,0.025166,0.024982,-0.075933,0.022724,-0.077508,0.020364,0.290461,0.2908,-0.026359,0.000245
"Bronx",0.004188,0.02649,0.026521,-0.047735,0.05611,-0.049455,0.05489,0.874396,0.8384,0.004476,0.000289
"Inattention",0.05497,0.013534,0.013568,0.028441,0.081499,0.028549,0.08179,4.9e-05,0,0.05511,0.00014
"FollowingTooClosely",0.077749,0.026336,0.026317,0.026129,0.129369,0.027778,0.131293,0.003159,0.0016,0.077745,-4e-06
"FailureToYield",0.257621,0.020925,0.020773,0.216606,0.298636,0.21773,0.299842,0,0,0.257664,4.2e-05
"UnspecifiedFactor",-0.034781,0.011559,0.011574,-0.057437,-0.012125,-0.057292,-0.012093,0.002624,0.002,-0.034631,0.00015
"Sedan",0.011653,0.012247,0.012318,-0.012352,0.035657,-0.012922,0.035704,0.341356,0.3452,0.011632,-2e-05
"SUV",8.9e-05,0.01188,0.011834,-0.023197,0.023375,-0.023532,0.022991,0.99403,0.998,-6.6e-05,-0.000155
"Pickup",-0.060353,0.033921,0.033927,-0.126841,0.006136,-0.123694,0.007975,0.075222,0.0838,-0.060398,-4.5e-05
"Motorcycle",0.325619,0.051453,0.051181,0.224766,0.426471,0.231329,0.431246,0,0,0.32496,-0.000659
